Date,State/UnionTerritory,Confirmed
1/30/20,Kerala,1
1/31/20,Kerala,1
2/1/20,Kerala,2
2/2/20,Kerala,3
2/3/20,Kerala,3
2/4/20,Kerala,3
2/5/20,Kerala,3
2/6/20,Kerala,3
2/7/20,Kerala,3
2/8/20,Kerala,3
2/9/20,Kerala,3
2/10/20,Kerala,3
2/11/20,Kerala,3
2/12/20,Kerala,3
2/13/20,Kerala,3
2/14/20,Kerala,3
2/15/20,Kerala,3
2/16/20,Kerala,3
2/17/20,Kerala,3
2/18/20,Kerala,3
2/19/20,Kerala,3
2/20/20,Kerala,3
2/21/20,Kerala,3
2/22/20,Kerala,3
2/23/20,Kerala,3
2/24/20,Kerala,3
2/25/20,Kerala,3
2/26/20,Kerala,3
2/27/20,Kerala,3
2/28/20,Kerala,3
2/29/20,Kerala,3
3/1/20,Kerala,3
3/2/20,Telangana,1
3/2/20,Kerala,3
3/2/20,Delhi,1
3/3/20,Telangana,1
3/3/20,Rajasthan,1
3/3/20,Kerala,3
3/3/20,Delhi,1
3/4/20,Uttar Pradesh,6
3/4/20,Kerala,3
3/4/20,Haryana,2
3/4/20,Delhi,1
3/4/20,Telangana,1
3/4/20,Rajasthan,15
3/5/20,Delhi,2
3/5/20,Haryana,2
3/5/20,Kerala,3
3/5/20,Rajasthan,15
3/5/20,Telangana,1
3/5/20,Uttar Pradesh,7
3/6/20,Delhi,3
3/6/20,Haryana,2
3/6/20,Kerala,3
3/6/20,Rajasthan,15
3/6/20,Uttar Pradesh,7
3/6/20,Telangana,1
3/7/20,Kerala,3
3/7/20,Uttar Pradesh,7
3/7/20,Ladakh,2
3/7/20,Telangana,1
3/7/20,Tamil Nadu,1
3/7/20,Delhi,3
3/7/20,Haryana,2
3/7/20,Rajasthan,15
3/8/20,Ladakh,2
3/8/20,Telangana,1
3/8/20,Tamil Nadu,1
3/8/20,Rajasthan,15
3/8/20,Kerala,8
3/8/20,Haryana,2
3/8/20,Delhi,3
3/8/20,Uttar Pradesh,7
3/9/20,Ladakh,2
3/9/20,Karnataka,1
3/9/20,Kerala,9
3/9/20,Maharashtra,2
3/9/20,Punjab,1
3/9/20,Rajasthan,15
3/9/20,Tamil Nadu,1
3/9/20,Telangana,1
3/9/20,Jammu and Kashmir,1
3/9/20,Uttar Pradesh,7
3/9/20,Haryana,2
3/9/20,Delhi,4
3/10/20,Uttar Pradesh,7
3/10/20,Ladakh,2
3/10/20,Delhi,4
3/10/20,Haryana,2
3/10/20,Karnataka,4
3/10/20,Kerala,15
3/10/20,Maharashtra,5
3/10/20,Punjab,1
3/10/20,Rajasthan,15
3/10/20,Tamil Nadu,1
3/10/20,Telangana,1
3/10/20,Jammu and Kashmir,1
3/11/20,Maharashtra,2
3/11/20,Delhi,5
3/11/20,Haryana,14
3/11/20,Kerala,17
3/11/20,Rajasthan,3
3/11/20,Telangana,1
3/11/20,Uttar Pradesh,9
3/11/20,Ladakh,2
3/11/20,Tamil Nadu,1
3/11/20,Jammu and Kashmir,1
3/11/20,Punjab,1
3/11/20,Karnataka,4
3/12/20,Delhi,6
3/12/20,Haryana,14
3/12/20,Kerala,17
3/12/20,Rajasthan,3
3/12/20,Telangana,1
3/12/20,Uttar Pradesh,11
3/12/20,Ladakh,3
3/12/20,Tamil Nadu,1
3/12/20,Jammu and Kashmir,1
3/12/20,Punjab,1
3/12/20,Karnataka,4
3/12/20,Maharashtra,11
3/12/20,Andhra Pradesh,1
3/13/20,Delhi,6
3/13/20,Haryana,14
3/13/20,Kerala,19
3/13/20,Rajasthan,3
3/13/20,Telangana,1
3/13/20,Uttar Pradesh,11
3/13/20,Ladakh,3
3/13/20,Tamil Nadu,1
3/13/20,Jammu and Kashmir,1
3/13/20,Punjab,1
3/13/20,Karnataka,6
3/13/20,Maharashtra,14
3/13/20,Andhra Pradesh,1
3/14/20,Delhi,7
3/14/20,Haryana,14
3/14/20,Kerala,19
3/14/20,Rajasthan,3
3/14/20,Telangana,1
3/14/20,Uttar Pradesh,12
3/14/20,Ladakh,3
3/14/20,Tamil Nadu,1
3/14/20,Jammu and Kashmir,2
3/14/20,Punjab,1
3/14/20,Karnataka,6
3/14/20,Maharashtra,14
3/14/20,Andhra Pradesh,1
3/15/20,Andhra Pradesh,1
3/15/20,Delhi,7
3/15/20,Haryana,14
3/15/20,Karnataka,6
3/15/20,Kerala,22
3/15/20,Maharashtra,32
3/15/20,Punjab,1
3/15/20,Rajasthan,4
3/15/20,Tamil Nadu,1
3/15/20,Telangana,3
3/15/20,Jammu and Kashmir,2
3/15/20,Ladakh,3
3/15/20,Uttar Pradesh,13
3/15/20,Uttarakhand,1
3/16/20,Andhra Pradesh,1
3/16/20,Delhi,7
3/16/20,Haryana,14
3/16/20,Karnataka,6
3/16/20,Kerala,23
3/16/20,Maharashtra,32
3/16/20,Odisha,1
3/16/20,Punjab,1
3/16/20,Rajasthan,4
3/16/20,Tamil Nadu,1
3/16/20,Telangana,3
3/16/20,Jammu and Kashmir,3
3/16/20,Ladakh,4
3/16/20,Uttar Pradesh,13
3/16/20,Uttarakhand,1
3/17/20,Andhra Pradesh,1
3/17/20,Delhi,8
3/17/20,Haryana,15
3/17/20,Karnataka,11
3/17/20,Kerala,26
3/17/20,Maharashtra,39
3/17/20,Odisha,1
3/17/20,Punjab,1
3/17/20,Rajasthan,4
3/17/20,Tamil Nadu,1
3/17/20,Telangana,5
3/17/20,Jammu and Kashmir,3
3/17/20,Ladakh,6
3/17/20,Uttar Pradesh,15
3/17/20,Uttarakhand,1
3/18/20,Andhra Pradesh,1
3/18/20,Delhi,10
3/18/20,Haryana,17
3/18/20,Karnataka,11
3/18/20,Kerala,27
3/18/20,Maharashtra,42
3/18/20,Odisha,1
3/18/20,Puducherry,1
3/18/20,Punjab,1
3/18/20,Rajasthan,4
3/18/20,Tamil Nadu,1
3/18/20,Telangana,6
3/18/20,Jammu and Kashmir,3
3/18/20,Ladakh,8
3/18/20,Uttar Pradesh,16
3/18/20,Uttarakhand,1
3/18/20,West Bengal,1
3/19/20,Andhra Pradesh,2
3/19/20,Chhattisgarh,1
3/19/20,Delhi,12
3/19/20,Haryana,17
3/19/20,Karnataka,14
3/19/20,Kerala,27
3/19/20,Maharashtra,47
3/19/20,Odisha,1
3/19/20,Puducherry,1
3/19/20,Punjab,2
3/19/20,Rajasthan,7
3/19/20,Tamil Nadu,2
3/19/20,Telangana,6
3/19/20,Chandigarh,1
3/19/20,Jammu and Kashmir,4
3/19/20,Ladakh,8
3/19/20,Uttar Pradesh,19
3/19/20,Uttarakhand,1
3/19/20,West Bengal,1
3/20/20,Andhra Pradesh,3
3/20/20,Chhattisgarh,1
3/20/20,Delhi,17
3/20/20,Gujarat,5
3/20/20,Haryana,17
3/20/20,Karnataka,15
3/20/20,Kerala,28
3/20/20,Maharashtra,52
3/20/20,Odisha,2
3/20/20,Puducherry,1
3/20/20,Punjab,2
3/20/20,Rajasthan,17
3/20/20,Tamil Nadu,3
3/20/20,Telangana,17
3/20/20,Chandigarh,1
3/20/20,Jammu and Kashmir,4
3/20/20,Ladakh,10
3/20/20,Uttar Pradesh,23
3/20/20,Uttarakhand,3
3/20/20,West Bengal,2
3/21/20,Andhra Pradesh,3
3/21/20,Chhattisgarh,1
3/21/20,Delhi,26
3/21/20,Gujarat,7
3/21/20,Haryana,17
3/21/20,Himachal Pradesh,2
3/21/20,Karnataka,15
3/21/20,Kerala,40
3/21/20,Madhya Pradesh,4
3/21/20,Maharashtra,63
3/21/20,Odisha,2
3/21/20,Puducherry,1
3/21/20,Punjab,13
3/21/20,Rajasthan,17
3/21/20,Tamil Nadu,3
3/21/20,Telangana,21
3/21/20,Chandigarh,1
3/21/20,Jammu and Kashmir,4
3/21/20,Ladakh,13
3/21/20,Uttar Pradesh,24
3/21/20,Uttarakhand,3
3/21/20,West Bengal,3
3/22/20,Andhra Pradesh,5
3/22/20,Bihar,2
3/22/20,Chhattisgarh,1
3/22/20,Delhi,29
3/22/20,Gujarat,18
3/22/20,Haryana,21
3/22/20,Himachal Pradesh,2
3/22/20,Karnataka,26
3/22/20,Kerala,52
3/22/20,Madhya Pradesh,4
3/22/20,Maharashtra,67
3/22/20,Odisha,2
3/22/20,Puducherry,1
3/22/20,Punjab,21
3/22/20,Rajasthan,24
3/22/20,Tamil Nadu,7
3/22/20,Telangana,22
3/22/20,Chandigarh,5
3/22/20,Jammu and Kashmir,4
3/22/20,Ladakh,13
3/22/20,Uttar Pradesh,27
3/22/20,Uttarakhand,3
3/22/20,West Bengal,4
3/23/20,Andhra Pradesh,7
3/23/20,Bihar,2
3/23/20,Chhattisgarh,1
3/23/20,Delhi,29
3/23/20,Gujarat,29
3/23/20,Haryana,26
3/23/20,Himachal Pradesh,2
3/23/20,Karnataka,33
3/23/20,Kerala,67
3/23/20,Madhya Pradesh,6
3/23/20,Maharashtra,74
3/23/20,Odisha,2
3/23/20,Puducherry,1
3/23/20,Punjab,21
3/23/20,Rajasthan,28
3/23/20,Tamil Nadu,9
3/23/20,Telangana,32
3/23/20,Chandigarh,6
3/23/20,Jammu and Kashmir,4
3/23/20,Ladakh,13
3/23/20,Uttar Pradesh,31
3/23/20,Uttarakhand,3
3/23/20,West Bengal,7
3/24/20,Andhra Pradesh,8
3/24/20,Bihar,3
3/24/20,Chhattisgarh,1
3/24/20,Delhi,30
3/24/20,Gujarat,33
3/24/20,Haryana,28
3/24/20,Himachal Pradesh,3
3/24/20,Karnataka,37
3/24/20,Kerala,95
3/24/20,Madhya Pradesh,7
3/24/20,Maharashtra,89
3/24/20,Manipur,1
3/24/20,Odisha,2
3/24/20,Puducherry,1
